,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,RainTomorrow_predict
41,19.2,26.1,0.0,6.0,10.6,0.0,0.0,292.5,112.5,6.0,20.0,84.0,69.0,1019.7,1019.0,1.0,4.0,22.4,25.3,0,0,0
42,18.8,26.0,0.0,5.4,11.0,0.0,0.0,270.0,72.5,9.0,24.0,84.0,62.0,1022.8,1020.0,3.0,1.0,21.8,25.7,0,0,0
43,19.3,26.1,0.0,7.0,11.3,0.0,0.0,315.0,72.5,2.0,20.0,80.0,64.0,1022.1,1020.9,1.0,1.0,22.5,25.6,0,0,0
44,19.7,25.8,0.0,5.6,10.1,0.0,0.0,270.0,90.0,7.0,24.0,81.0,69.0,1024.6,1022.6,2.0,2.0,22.8,24.7,0,0,0
45,19.5,25.7,0.0,6.4,10.0,0.0,0.0,292.5,0.0,4.0,0.0,82.0,60.0,1024.8,1022.8,4.0,1.0,22.0,25.4,0,0,0
46,19.0,26.7,0.0,8.0,9.7,0.0,0.0,0.0,72.5,11.0,20.0,73.0,58.0,1023.3,1020.0,0.0,2.0,22.2,25.6,0,0,0
47,19.9,26.9,0.0,6.6,6.3,0.0,0.0,157.5,90.0,7.0,13.0,70.0,60.0,1021.2,1019.4,5.0,7.0,23.9,24.9,0,0,0
48,19.7,28.1,0.0,6.0,10.4,0.0,0.0,22.5,45.0,6.0,17.0,70.0,58.0,1014.3,1009.6,2.0,2.0,23.5,27.6,0,0,0
49,17.7,19.6,1.0,7.0,0.0,0.0,0.0,180.0,202.5,26.0,22.0,87.0,80.0,1017.3,1018.9,8.0,8.0,17.8,18.4,0,1,1
50,16.9,23.2,2.2,2.2,0.6,0.0,0.0,112.5,90.0,24.0,30.0,81.0,60.0,1022.8,1022.2,7.0,7.0,19.6,21.7,1,0,1
51,16.3,24.8,0.4,4.0,6.1,0.0,0.0,292.5,112.5,9.0,13.0,82.0,57.0,1023.1,1020.6,5.0,6.0,18.5,24.8,0,1,0
52,18.5,24.3,17.0,2.6,8.0,0.0,0.0,337.5,72.5,7.0,26.0,95.0,72.0,1018.7,1015.3,6.0,2.0,19.9,23.3,1,0,0
53,19.8,27.5,0.4,6.4,2.5,0.0,0.0,45.0,337.5,4.0,17.0,81.0,58.0,1011.1,1006.9,5.0,7.0,21.4,27.0,0,1,0
54,17.0,27.2,19.0,2.4,10.5,0.0,0.0,0.0,315.0,0.0,6.0,76.0,38.0,1008.9,1007.9,1.0,5.0,20.5,27.1,1,0,0
55,15.0,23.6,0.0,5.8,11.0,0.0,0.0,270.0,112.5,20.0,19.0,52.0,42.0,1014.7,1013.4,1.0,1.0,17.5,21.8,0,0,0
56,15.2,21.7,0.0,2.6,8.3,0.0,0.0,202.5,135.0,13.0,17.0,71.0,51.0,1017.1,1016.2,4.0,3.0,18.3,21.2,0,0,0
57,14.4,22.9,0.2,4.8,9.3,0.0,0.0,270.0,90.0,15.0,15.0,85.0,65.0,1015.4,1011.2,3.0,2.0,16.7,21.7,0,0,0
58,13.1,26.8,0.0,4.6,10.9,0.0,0.0,270.0,292.5,22.0,15.0,61.0,22.0,1013.0,1009.0,0.0,1.0,16.9,25.9,0,0,0
59,13.5,25.6,0.0,5.8,10.4,0.0,0.0,292.5,292.5,9.0,17.0,57.0,31.0,1015.0,1012.5,4.0,1.0,16.3,24.9,0,0,0
60,13.7,23.9,0.0,6.6,11.0,0.0,0.0,270.0,112.5,20.0,15.0,55.0,54.0,1023.0,1021.5,1.0,1.0,16.7,23.3,0,0,0
61,14.1,28.7,0.0,3.8,10.5,0.0,0.0,270.0,0.0,6.0,22.0,75.0,34.0,1019.0,1012.4,1.0,7.0,17.8,28.0,0,0,0
62,16.4,22.2,0.0,10.6,9.7,0.0,0.0,225.0,247.5,26.0,20.0,42.0,21.0,1009.9,1010.8,6.0,1.0,16.6,21.2,0,0,0
63,11.2,22.2,0.0,7.6,10.6,0.0,0.0,270.0,90.0,24.0,15.0,47.0,37.0,1020.8,1019.2,1.0,0.0,13.9,21.0,0,0,0
64,11.6,22.7,0.0,4.2,10.7,0.0,0.0,292.5,90.0,13.0,17.0,71.0,50.0,1024.5,1023.4,0.0,1.0,15.2,21.0,0,0,0
65,13.1,22.7,0.0,3.6,6.4,0.0,0.0,270.0,112.5,13.0,20.0,71.0,55.0,1027.2,1024.6,5.0,6.0,17.7,22.1,0,1,0
66,15.3,22.0,12.0,3.2,4.7,0.0,0.0,202.5,157.5,11.0,15.0,83.0,70.0,1026.3,1024.2,5.0,6.0,18.2,19.8,1,1,1
67,14.6,22.1,9.6,5.4,5.1,0.0,0.0,135.0,135.0,20.0,17.0,86.0,75.0,1026.5,1024.1,6.0,6.0,17.0,18.9,1,1,1
68,15.6,22.2,22.8,5.4,5.8,0.0,0.0,270.0,90.0,13.0,20.0,96.0,62.0,1024.6,1021.4,7.0,5.0,16.3,21.1,1,1,0
69,13.8,22.7,2.2,3.6,10.6,0.0,0.0,270.0,90.0,15.0,15.0,77.0,60.0,1022.1,1019.7,5.0,1.0,18.7,21.9,1,0,0
70,14.1,23.5,0.0,3.2,8.9,0.0,0.0,270.0,90.0,15.0,15.0,83.0,61.0,1020.1,1017.5,4.0,2.0,17.1,22.1,0,0,0
71,14.0,23.8,0.0,4.0,7.8,0.0,0.0,270.0,90.0,11.0,9.0,79.0,59.0,1018.6,1016.0,7.0,4.0,17.6,22.2,0,0,0
72,15.1,22.7,0.0,1.8,6.6,0.0,0.0,270.0,112.5,11.0,4.0,81.0,75.0,1016.4,1013.4,5.0,6.0,17.4,19.7,0,1,0
73,13.2,18.9,11.0,3.2,5.2,0.0,0.0,202.5,180.0,19.0,30.0,82.0,64.0,1019.6,1019.2,7.0,3.0,15.9,18.8,1,1,0
74,13.8,19.7,2.8,2.8,1.7,0.0,0.0,225.0,180.0,20.0,22.0,85.0,71.0,1025.4,1023.9,7.0,7.0,15.9,19.0,1,1,1
75,13.8,20.9,1.4,4.6,2.2,0.0,0.0,202.5,202.5,15.0,20.0,78.0,85.0,1026.4,1024.6,7.0,8.0,17.2,16.2,1,1,1
76,14.9,19.7,4.6,1.4,0.8,0.0,0.0,202.5,180.0,17.0,13.0,91.0,72.0,1025.1,1023.4,7.0,7.0,16.4,19.4,1,1,1
77,15.3,20.0,6.4,3.2,0.3,0.0,0.0,270.0,157.5,4.0,15.0,94.0,75.0,1025.4,1023.7,8.0,7.0,16.4,19.6,1,1,1
78,15.9,21.4,5.0,4.8,5.0,0.0,0.0,135.0,135.0,22.0,24.0,51.0,61.0,1027.2,1026.1,6.0,7.0,19.3,19.5,1,1,0
79,15.2,19.1,2.8,4.0,1.3,0.0,0.0,112.5,180.0,15.0,6.0,79.0,75.0,1026.6,1023.7,7.0,6.0,17.3,18.4,1,1,1
80,14.7,19.3,21.8,7.5,4.6,0.0,0.0,202.5,180.0,9.0,19.0,91.0,70.0,1023.2,1021.4,8.0,7.0,16.6,19.0,1,1,1
81,14.4,20.3,10.2,3.6,2.0,0.0,0.0,157.5,135.0,9.0,20.0,90.0,55.0,1023.6,1022.3,7.0,5.0,16.1,20.1,1,1,0
82,14.7,17.9,12.6,4.0,0.7,0.0,0.0,225.0,157.5,6.0,22.0,90.0,89.0,1024.0,1022.1,7.0,7.0,16.2,17.2,1,1,1
83,14.7,20.0,15.6,1.6,2.5,0.0,0.0,180.0,180.0,19.0,20.0,93.0,80.0,1021.3,1018.6,7.0,7.0,16.8,19.3,1,1,1
84,16.8,21.2,5.4,2.6,2.6,0.0,0.0,157.5,180.0,17.0,15.0,55.0,69.0,0.0,1013.9,7.0,7.0,19.7,20.3,1,0,0
85,12.7,24.8,0.4,2.6,10.2,0.0,0.0,270.0,90.0,15.0,6.0,81.0,38.0,1011.2,1007.0,2.0,7.0,15.6,24.6,0,0,0
86,15.6,26.1,0.0,5.2,7.6,0.0,0.0,337.5,0.0,20.0,22.0,51.0,28.0,1005.2,999.1,6.0,2.0,20.3,25.7,0,0,0
87,11.9,16.8,0.0,7.6,8.5,0.0,0.0,270.0,247.5,20.0,24.0,46.0,33.0,1007.4,1008.6,2.0,6.0,13.7,15.6,0,0,0
88,8.6,18.4,0.0,3.8,10.5,0.0,0.0,270.0,157.5,24.0,9.0,54.0,41.0,1020.4,1019.8,1.0,1.0,11.7,17.8,0,0,0
89,8.4,19.6,0.0,3.6,9.8,0.0,0.0,270.0,90.0,15.0,17.0,68.0,50.0,1024.2,1021.3,1.0,3.0,11.6,18.1,0,0,0
90,11.6,18.2,0.0,4.0,2.7,0.0,0.0,292.5,270.0,11.0,7.0,74.0,56.0,1019.7,1016.7,7.0,7.0,13.4,18.1,0,0,0
91,10.8,22.2,0.0,2.4,9.1,0.0,0.0,270.0,247.5,19.0,17.0,65.0,44.0,1018.7,1015.3,1.0,3.0,14.5,21.7,0,0,0
92,10.9,19.6,0.0,3.4,10.5,0.0,0.0,270.0,157.5,19.0,11.0,62.0,52.0,1019.3,1016.9,1.0,1.0,14.1,18.6,0,0,0
93,9.4,20.3,0.0,3.6,10.3,0.0,0.0,270.0,135.0,22.0,11.0,64.0,47.0,1021.1,1018.3,1.0,1.0,12.4,19.4,0,0,0
94,9.4,22.3,0.0,2.0,10.0,0.0,0.0,270.0,315.0,15.0,7.0,71.0,34.0,1018.7,1015.2,1.0,2.0,12.4,22.2,0,0,0
95,11.8,23.6,0.0,3.4,3.1,0.0,0.0,270.0,292.5,9.0,9.0,74.0,48.0,1017.1,1013.3,6.0,7.0,13.7,21.1,0,0,0
96,13.0,23.0,0.0,3.6,9.4,0.0,0.0,270.0,157.5,22.0,13.0,57.0,44.0,1014.3,1011.8,1.0,3.0,16.5,22.0,0,0,0
97,11.0,21.8,0.0,3.2,10.2,0.0,0.0,270.0,180.0,24.0,15.0,63.0,45.0,1019.2,1017.5,1.0,1.0,14.0,20.8,0,0,0
98,11.0,21.9,0.0,3.2,10.1,0.0,0.0,270.0,135.0,17.0,11.0,75.0,60.0,1021.4,1020.2,0.0,1.0,14.3,20.6,0,0,0
99,12.6,21.3,0.0,3.0,9.6,0.0,0.0,292.5,90.0,11.0,11.0,86.0,67.0,1022.2,1019.6,1.0,1.0,15.2,19.3,0,0,0
100,14.0,19.4,0.0,1.2,2.1,0.0,0.0,292.5,157.5,13.0,15.0,84.0,67.0,1023.1,1021.2,7.0,7.0,16.8,18.7,0,0,0
101,12.4,19.5,0.0,1.6,7.3,0.0,0.0,270.0,90.0,11.0,15.0,88.0,63.0,1023.5,1020.5,1.0,1.0,14.9,19.2,0,0,0
102,13.2,19.7,0.0,1.8,4.2,0.0,0.0,270.0,90.0,11.0,9.0,88.0,67.0,1023.4,1021.7,6.0,7.0,15.0,18.1,0,0,0
103,11.2,20.6,0.0,2.0,9.7,0.0,0.0,270.0,72.5,20.0,19.0,82.0,64.0,1023.8,1020.5,1.0,1.0,13.8,20.0,0,0,0
104,12.0,21.4,0.2,3.2,8.7,0.0,0.0,270.0,90.0,13.0,9.0,90.0,60.0,1022.2,1017.8,1.0,1.0,13.9,21.3,0,1,0
105,13.8,23.2,1.2,2.2,6.4,0.0,0.0,292.5,45.0,15.0,15.0,78.0,66.0,1017.1,1013.0,6.0,2.0,15.9,20.9,1,0,0
106,15.2,21.8,0.0,4.2,6.9,0.0,0.0,337.5,337.5,20.0,17.0,52.0,41.0,1008.4,1003.6,3.0,7.0,19.2,20.9,0,0,0
107,8.8,17.8,0.0,4.2,9.4,0.0,0.0,270.0,270.0,19.0,31.0,57.0,36.0,1007.0,1006.3,1.0,1.0,11.6,17.0,0,0,0
108,10.7,20.5,0.0,4.4,9.9,0.0,0.0,270.0,292.5,22.0,7.0,58.0,36.0,1015.7,1013.3,1.0,0.0,12.5,20.3,0,0,0
109,10.3,21.7,0.0,3.0,10.0,0.0,0.0,270.0,270.0,24.0,7.0,64.0,38.0,1020.1,1017.5,1.0,1.0,13.0,21.3,0,0,0
110,11.1,18.9,0.0,2.4,6.1,0.0,0.0,292.5,180.0,19.0,22.0,74.0,64.0,1022.4,1022.8,4.0,7.0,13.5,17.3,0,0,0
111,11.9,18.7,0.0,4.0,7.5,0.0,0.0,202.5,157.5,20.0,19.0,63.0,52.0,1028.2,1026.2,1.0,2.0,15.1,17.4,0,0,0
112,11.0,18.4,0.0,3.4,5.4,0.0,0.0,292.5,157.5,17.0,13.0,76.0,53.0,1026.9,1024.6,1.0,5.0,12.7,17.1,0,0,0
113,11.4,20.1,0.0,2.4,9.1,0.0,0.0,270.0,315.0,13.0,2.0,71.0,39.0,1025.4,1022.7,1.0,1.0,13.3,19.3,0,0,0
114,8.8,18.3,0.0,3.6,6.5,0.0,0.0,270.0,72.5,17.0,11.0,78.0,58.0,1025.1,1022.2,4.0,3.0,11.1,16.9,0,0,0
115,10.9,21.1,0.4,0.4,9.1,0.0,0.0,270.0,72.5,20.0,13.0,81.0,58.0,1025.9,1022.6,6.0,2.0,12.9,19.5,0,0,0
116,11.5,22.4,0.0,3.2,8.7,0.0,0.0,270.0,90.0,15.0,13.0,82.0,71.0,1024.6,1021.8,3.0,1.0,13.6,19.1,0,0,0
117,11.0,19.2,0.0,1.6,3.9,0.0,0.0,270.0,45.0,26.0,2.0,80.0,74.0,1025.6,1023.9,3.0,6.0,12.8,18.6,0,0,0
118,11.0,18.6,1.0,1.0,4.6,0.0,0.0,270.0,180.0,19.0,4.0,86.0,76.0,1030.2,1029.1,3.0,2.0,12.7,17.6,0,0,0
119,10.9,21.0,0.2,1.4,5.6,0.0,0.0,270.0,90.0,19.0,7.0,87.0,58.0,1032.0,1028.7,1.0,2.0,12.7,19.6,0,0,0
120,10.8,20.1,0.0,1.0,9.4,0.0,0.0,292.5,157.5,17.0,17.0,90.0,61.0,1028.6,1026.66,1.0,1.0,11.7,19.4,0,0,0
121,11.6,20.5,0.2,2.2,0.3,0.0,0.0,270.0,135.0,19.0,17.0,91.0,74.0,1029.3,1027.0,7.0,7.0,14.3,18.7,0,1,1
122,14.3,17.6,22.0,1.8,0.1,0.0,0.0,270.0,270.0,9.0,7.0,97.0,90.0,1027.3,1024.8,8.0,7.0,15.3,17.1,1,1,1
123,15.2,19.1,4.0,0.4,0.0,0.0,0.0,270.0,90.0,17.0,22.0,98.0,90.0,1026.4,1024.1,8.0,8.0,15.6,16.7,1,1,1
124,15.5,18.3,9.2,2.4,0.0,0.0,0.0,135.0,112.5,19.0,26.0,87.0,88.0,1023.1,1020.5,8.0,8.0,17.5,17.2,1,1,1
125,15.2,16.9,46.4,2.4,0.0,0.0,0.0,202.5,180.0,24.0,24.0,82.0,84.0,1020.1,1018.6,7.0,8.0,16.0,16.6,1,1,1
126,14.7,17.4,12.4,0.4,1.8,0.0,0.0,247.5,202.5,15.0,24.0,81.0,70.0,1021.2,1020.3,7.0,6.0,15.1,16.6,1,0,1
127,11.7,18.2,0.0,2.2,8.8,0.0,0.0,270.0,180.0,19.0,24.0,76.0,49.0,1025.0,1025.7,1.0,1.0,13.3,17.9,0,1,0
128,12.7,17.7,6.0,1.4,0.5,0.0,0.0,292.5,112.5,17.0,17.0,97.0,71.0,1032.1,1029.8,8.0,7.0,14.1,17.2,1,1,1
129,13.0,16.9,3.6,1.2,1.2,0.0,0.0,270.0,112.5,13.0,2.0,96.0,89.0,1030.9,1028.0,7.0,8.0,13.9,16.2,1,1,1
130,12.4,19.9,1.6,1.6,3.9,0.0,0.0,270.0,0.0,13.0,9.0,98.0,68.0,1027.5,1023.9,7.0,1.0,13.2,19.1,1,0,0
131,13.2,19.9,0.0,1.8,0.0,0.0,0.0,337.5,0.0,6.0,4.0,74.0,70.0,1022.9,1020.6,7.0,8.0,17.3,19.6,0,1,0
132,13.7,22.1,5.4,1.8,6.9,0.0,0.0,270.0,72.5,11.0,7.0,97.0,64.0,1022.4,1018.1,8.0,1.0,14.1,20.1,1,0,0
133,14.0,18.8,0.0,3.4,8.6,0.0,0.0,315.0,247.5,20.0,26.0,67.0,42.0,1012.2,1011.5,1.0,2.0,16.6,16.7,0,0,0
134,9.6,14.6,0.0,3.8,3.4,0.0,0.0,270.0,225.0,30.0,24.0,49.0,52.0,1022.0,1022.5,5.0,7.0,11.2,14.1,0,0,0
135,10.6,15.3,0.0,2.8,0.1,0.0,0.0,202.5,202.5,24.0,26.0,75.0,87.0,1024.4,1022.8,7.0,8.0,13.7,14.5,0,1,1
136,13.3,16.8,7.2,5.0,2.4,0.0,0.0,202.5,202.5,19.0,20.0,86.0,83.0,1024.2,1023.0,6.0,7.0,15.0,15.8,1,1,1
137,13.1,17.5,3.4,0.8,1.3,0.0,0.0,270.0,202.5,11.0,13.0,88.0,73.0,1026.7,1024.8,7.0,7.0,14.2,17.3,1,0,1
138,13.6,19.4,0.0,1.6,4.1,0.0,0.0,270.0,45.0,13.0,2.0,90.0,69.0,1025.5,1022.1,7.0,8.0,14.8,19.2,0,0,0
139,12.8,20.3,0.0,2.0,5.0,0.0,0.0,292.5,112.5,13.0,13.0,91.0,69.0,1020.3,1017.4,6.0,7.0,13.9,18.6,0,1,0
140,13.8,17.9,3.6,0.6,0.6,0.0,0.0,270.0,270.0,19.0,19.0,81.0,60.0,1018.3,1016.2,7.0,7.0,14.3,17.2,1,1,1
141,11.6,18.5,2.2,1.8,9.4,0.0,0.0,270.0,247.5,15.0,17.0,66.0,40.0,1020.7,1018.9,1.0,1.0,13.2,18.0,1,0,0
142,9.7,17.3,0.0,3.4,9.3,0.0,0.0,270.0,202.5,22.0,22.0,61.0,54.0,1023.2,1024.0,1.0,3.0,11.4,16.3,0,0,0
143,8.2,17.1,0.0,3.4,7.0,0.0,0.0,292.5,247.5,13.0,13.0,74.0,43.0,1023.7,1020.4,1.0,7.0,9.9,17.0,0,0,0
144,9.2,19.2,0.0,1.8,9.2,0.0,0.0,270.0,292.5,19.0,9.0,72.0,45.0,1027.0,1023.1,1.0,1.0,10.7,18.8,0,0,0
145,9.9,19.6,0.0,2.8,9.8,0.0,0.0,270.0,292.5,17.0,6.0,69.0,43.0,1024.6,1020.6,1.0,0.0,11.8,19.4,0,0,0
146,10.2,20.2,0.0,3.2,9.7,0.0,0.0,292.5,270.0,28.0,28.0,47.0,38.0,1017.0,1016.8,0.0,1.0,14.6,19.3,0,0,0
147,9.5,19.4,0.0,4.4,9.3,0.0,0.0,270.0,247.5,24.0,15.0,57.0,32.0,1025.9,1023.6,0.0,0.0,10.8,18.9,0,0,0
148,7.9,18.7,0.0,3.0,8.8,0.0,0.0,270.0,157.5,20.0,9.0,68.0,43.0,1027.6,1024.7,1.0,1.0,10.1,18.1,0,0,0
149,7.9,21.0,0.0,0.8,9.8,0.0,0.0,292.5,337.5,13.0,6.0,84.0,42.0,1024.1,1018.8,2.0,1.0,9.2,20.8,0,0,0
150,9.2,22.1,0.0,3.2,9.8,0.0,0.0,337.5,315.0,19.0,28.0,47.0,35.0,1017.1,1010.3,1.0,1.0,13.8,21.6,0,0,0
151,10.3,19.6,0.2,3.8,9.5,0.0,0.0,0.0,270.0,0.0,41.0,45.0,34.0,1011.0,1008.5,0.0,1.0,13.1,19.2,0,0,0
152,10.8,19.2,0.0,4.0,9.7,0.0,0.0,292.5,270.0,26.0,31.0,55.0,35.0,1012.5,1011.2,1.0,1.0,14.6,18.8,0,0,0
153,9.2,17.9,0.0,3.2,9.6,0.0,0.0,270.0,292.5,17.0,7.0,63.0,42.0,1022.7,1020.8,1.0,1.0,10.7,17.4,0,1,0
154,8.2,15.0,1.2,2.4,0.4,0.0,0.0,270.0,180.0,20.0,9.0,84.0,88.0,1029.0,1028.2,7.0,7.0,9.1,12.9,1,1,1
155,9.1,17.4,14.2,1.6,2.5,0.0,0.0,292.5,45.0,11.0,15.0,78.0,48.0,1031.9,1028.9,6.0,6.0,11.3,16.8,1,0,0
156,8.3,18.4,0.0,2.2,7.8,0.0,0.0,270.0,157.5,15.0,4.0,84.0,59.0,1029.2,1025.7,1.0,3.0,9.8,17.7,0,0,0
157,9.7,19.8,0.0,2.2,4.3,0.0,0.0,270.0,0.0,9.0,11.0,87.0,55.0,1024.4,1019.7,7.0,5.0,11.3,19.3,0,0,0
158,10.5,17.2,0.2,1.6,5.5,0.0,0.0,270.0,135.0,11.0,7.0,80.0,49.0,1020.9,1017.4,1.0,4.0,12.1,16.4,0,0,0
